8a07828b8dd0ce59018dd2f0daad17a5,20240222173016 CST,Approved,abc123-1,"Admin, System",xxxddd123,,xxxabc-123,"Admin, System",xxxddd123,,testuser,"dododo, XXXAdmin",,,admin_testuser,"dododo, XXXAdmin",,,Did you graduate from High School or were you issued a GED?|Please attach any supporting documentation with this request: (Optional)|Have you completed any post secondary education you wish to disclose?|Comments:|I attest that all Post Secondary Education has been disclosed.,GED||Yes||Yes
8a07828b8dd0ce59018dd2f4cdd45d34,20240222173435 CST,Approved,abc123-2,"Admin, System",xxxddd123,,rbctestadmin,"Admin, System",xxxddd123,,,,,,xxxabc-123,"Admin, System",xxxddd123,,Did you graduate from High School or were you issued a GED?|Please attach any supporting documentation with this request: (Optional)|Have you completed any post secondary education you wish to disclose?|Comments:|I attest that all Post Secondary Education has been disclosed.,High School Diploma||No
8a07828b8fbe0d06018fc00611b76c13,20240528122614 CDT,Approved,abc123-3,"Admin, System",xxxddd123,,xxxabc-124,"testuser, dsdsds",753159456,,,,,,xxxabc-123,"Admin, System",xxxddd123,,Did you graduate from High School or were you issued a GED?|Please attach any supporting documentation with this request: (Optional)|Have you completed any post secondary education you wish to disclose?|Comments:|I attest that all Post Secondary Education has been disclosed.,High School Diploma||No
8a07828b8e36e858018e3953e69838a6,20240313153943 CDT,Approved,abc123-4,"Dougiie, Doo",123456789,,xxxabc-125,"Dougiie, Doo",123456789,,,,,,pqpqpqpq@dododo.com,"Dougiie, Doo",123456789,,Did you graduate from High School or were you issued a GED?|Please attach any supporting documentation with this request: (Optional)|Have you completed any post secondary education you wish to disclose?|Comments:|I attest that all Post Secondary Education has been disclosed.,High School Diploma||Yes||Yes
efd554c41db9452d875dcfca10adf6d4,20231027063400 CDT,Approved,abc123-5,"Admin, System",xxxddd123,,xxxabc-126,"User4, HBHMEC",,,historicalapprover,"Approver, Historical ",,,,,,,Did you graduate from High School or were you issued a GED?|Please attach any supporting documentation with this request: (Optional)|Have you completed any post secondary education you wish to disclose?|Comments:|I attest that all Post Secondary Education has been disclosed.,"High School Diploma||Yes|NAME, ONE (10/27/23 11:34 AM):  Bachelors degree from the University of Miami"
ccbce5f4eb194621a8bc1891626e854b,20231027050100 CDT,Approved,abc123-6,"Admin, System",xxxddd123,,xxxabc-127,"User4, CEOHOB",,,historicalapprover,"Approver, Historical ",,,,,,,Did you graduate from High School or were you issued a GED?|Please attach any supporting documentation with this request: (Optional)|Have you completed any post secondary education you wish to disclose?|Comments:|I attest that all Post Secondary Education has been disclosed.,High School Diploma||Yes
a352dfd395ba4d89b7eab1d65053a3bb,20231026133400 CDT,Approved,abc123-7,"Admin, System",xxxddd123,,xxxabc-128,"User4, PHEM",,,historicalapprover,"Approver, Historical ",,,,,,,Did you graduate from High School or were you issued a GED?|Please attach any supporting documentation with this request: (Optional)|Have you completed any post secondary education you wish to disclose?|Comments:|I attest that all Post Secondary Education has been disclosed.,||No
0ed4f6e19ac645698abdfec392f9ec92,20231026085200 CDT,Approved,abc123-8,"Admin, System",xxxddd123,,xxxabc-129,"Test1, CEHB",,,historicalapprover,"Approver, Historical ",,,,,,,Did you graduate from High School or were you issued a GED?|Please attach any supporting documentation with this request: (Optional)|Have you completed any post secondary education you wish to disclose?|Comments:|I attest that all Post Secondary Education has been disclosed.,High School Diploma||Yes
6ec390decc74442484ad894c2132739b,20231026041600 CDT,Approved,abc123-9,"Admin, System",xxxddd123,,xxxabc-130,"Test1, CEPR",,,historicalapprover,"Approver, Historical ",,,,,,,Did you graduate from High School or were you issued a GED?|Please attach any supporting documentation with this request: (Optional)|Have you completed any post secondary education you wish to disclose?|Comments:|I attest that all Post Secondary Education has been disclosed.,"High School Diploma||Yes|NAME, TWO (10/26/23 09:16 AM):  Graduated from the University of MN"
b4790ddefc7547bdb95d85a1debe4537,20231025112900 CDT,Approved,abc123-10,"Admin, System",xxxddd123,,xxxabc-131,"Test1, CEPRHB",,,historicalapprover,"Approver, Historical ",,,,,,,Did you graduate from High School or were you issued a GED?|Please attach any supporting documentation with this request: (Optional)|Have you completed any post secondary education you wish to disclose?|Comments:|I attest that all Post Secondary Education has been disclosed.,"High School Diploma||Yes|NAME, THREE (10/25/23 04:29 PM):  BA Biology University of Texas Dallas  1979"
98b489ccece34c4cad11dd273085be22,20211202085500 CST,Approved,abc123-11,"Admin, System",xxxddd123,,xxxabc-132,"Test1, PRHBHE",,,historicalapprover,"Approver, Historical ",,,,,,,Did you graduate from High School or were you issued a GED?|Please attach any supporting documentation with this request: (Optional)|Have you completed any post secondary education you wish to disclose?|Comments:|I attest that all Post Secondary Education has been disclosed.,High School Diploma||Yes
3371374f5819455296cf4363931661f4,20211202054200 CST,Approved,abc123-12,"Admin, System",xxxddd123,,xxxabc-133,"Test1, CEHBHE",,,historicalapprover,"Approver, Historical ",,,,,,,Did you graduate from High School or were you issued a GED?|Please attach any supporting documentation with this request: (Optional)|Have you completed any post secondary education you wish to disclose?|Comments:|I attest that all Post Secondary Education has been disclosed.,"High School Diploma||Yes|NAME, FOUR (12/02/21 11:42 AM):  Bachelor of Arts, University of Pennsylvania"
dd638d2f43c44d0283c9553b0fa2d5fb,20211202032900 CST,Approved,abc123-13,"Admin, System",xxxddd123,,xxxabc-134,"Test1, CEHEM",,,historicalapprover,"Approver, Historical ",,,,,,,Did you graduate from High School or were you issued a GED?|Please attach any supporting documentation with this request: (Optional)|Have you completed any post secondary education you wish to disclose?|Comments:|I attest that all Post Secondary Education has been disclosed.,High School Diploma||No
dab0b5f6b3344e7190899038d16d775a,20211202031800 CST,Approved,abc123-14,"Admin, System",xxxddd123,,xxxabc-135,"Test1, PRHB",,,historicalapprover,"Approver, Historical ",,,,,,,Did you graduate from High School or were you issued a GED?|Please attach any supporting documentation with this request: (Optional)|Have you completed any post secondary education you wish to disclose?|Comments:|I attest that all Post Secondary Education has been disclosed.,High School Diploma||Yes
8a07828b8e8e5914018ea9f373234e05,20240404123128 CDT,Approved,abc123-15,"HuhHuh, Wisher",123456789,,xxxabc-136,"HuhHuh, Wisher",123456789,,,,,,1Wisher.HuhHuh@dododo.com,"HuhHuh, Wisher",123456789,,Did you graduate from High School or were you issued a GED?|Please attach any supporting documentation with this request: (Optional)|Have you completed any post secondary education you wish to disclose?|Comments:|I attest that all Post Secondary Education has been disclosed.,"GED|Prod Flat file Validation.docx|No|Comments:
(Optional)"
